"country","articles_2014","articles_2015","articles_2016","articles_2017","articles_2018","articles_speed","articles_acc","access_openacc_2014","access_openacc_2015","access_openacc_2016","access_openacc_2017","access_openacc_2018","access_openacc_speed","access_openacc_acc","access_other_2014","access_other_2015","access_other_2016","access_other_2017","access_other_2018","access_other_speed","access_other_acc","affiliation_collab_2014","affiliation_collab_2015","affiliation_collab_2016","affiliation_collab_2017","affiliation_collab_2018","affiliation_collab_speed","affiliation_collab_acc","affiliation_collab_mean_2014","affiliation_collab_mean_2015","affiliation_collab_mean_2016","affiliation_collab_mean_2017","affiliation_collab_mean_2018","affiliation_collab_mean_speed","affiliation_collab_mean_acc","affiliation_collab_stdv_2014","affiliation_collab_stdv_2015","affiliation_collab_stdv_2016","affiliation_collab_stdv_2017","affiliation_collab_stdv_2018","affiliation_collab_stdv_speed","affiliation_collab_stdv_acc","affiliation_collab_med_2014","affiliation_collab_med_2015","affiliation_collab_med_2016","affiliation_collab_med_2017","affiliation_collab_med_2018","affiliation_collab_med_speed","affiliation_collab_med_acc","art_per_auth_mean_2014","art_per_auth_mean_2015","art_per_auth_mean_2016","art_per_auth_mean_2017","art_per_auth_mean_2018","art_per_auth_mean_speed","art_per_auth_mean_acc","art_per_auth_stdv_2014","art_per_auth_stdv_2015","art_per_auth_stdv_2016","art_per_auth_stdv_2017","art_per_auth_stdv_2018","art_per_auth_stdv_speed","art_per_auth_stdv_acc","art_per_auth_med_2014","art_per_auth_med_2015","art_per_auth_med_2016","art_per_auth_med_2017","art_per_auth_med_2018","art_per_auth_med_speed","art_per_auth_med_acc","collab_national_2014","collab_national_2015","collab_national_2016","collab_national_2017","collab_national_2018","collab_national_speed","collab_national_acc","collab_internat_2014","collab_internat_2015","collab_internat_2016","collab_internat_2017","collab_internat_2018","collab_internat_speed","collab_internat_acc","doctype_art_2014","doctype_art_2015","doctype_art_2016","doctype_art_2017","doctype_art_2018","doctype_art_speed","doctype_art_acc","doctype_confer_2014","doctype_confer_2015","doctype_confer_2016","doctype_confer_2017","doctype_confer_2018","doctype_confer_speed","doctype_confer_acc","doctype_other_2014","doctype_other_2015","doctype_other_2016","doctype_other_2017","doctype_other_2018","doctype_other_speed","doctype_other_acc","funding_mean_2014","funding_mean_2015","funding_mean_2016","funding_mean_2017","funding_mean_2018","funding_mean_speed","funding_mean_acc","funding_stdv_2014","funding_stdv_2015","funding_stdv_2016","funding_stdv_2017","funding_stdv_2018","funding_stdv_speed","funding_stdv_acc","funding_med_2014","funding_med_2015","funding_med_2016","funding_med_2017","funding_med_2018","funding_med_speed","funding_med_acc","subarea_science_2014","subarea_science_2015","subarea_science_2016","subarea_science_2017","subarea_science_2018","subarea_science_speed","subarea_science_acc","subarea_health_2014","subarea_health_2015","subarea_health_2016","subarea_health_2017","subarea_health_2018","subarea_health_speed","subarea_health_acc","subarea_social_2014","subarea_social_2015","subarea_social_2016","subarea_social_2017","subarea_social_2018","subarea_social_speed","subarea_social_acc","cites_2014","cites_2015","cites_2016","cites_2017","cites_2018","cites_speed","cites_acc","cites_per_auth_2014","cites_per_auth_2015","cites_per_auth_2016","cites_per_auth_2017","cites_per_auth_2018","cites_per_auth_speed","cites_per_auth_acc","class"
"United States",9942,10162,10197,10251,10499,1.096200868,0.068813909,2829,3318,3681,3507,3207,2.539973884,-4.95532788,7113,6844,6516,6744,7292,0.49831269,3.969183119,34279,37552,34229,34295,37052,1.567953584,-0.503015696,215.591195,236.1761006,215.2767296,215.6918239,233.0314465,-1.543748327,0.425006685,117.3374024,117.8261181,144.9899565,139.1241113,148.388748,-4.587099181,-1.94290431,184,206,176,189,202,-1.84932499,1.414656029,104.13125,126.65625,111.4125,125.1375,148.13125,7.30331056,-1.085522309,18.20122391,17.88223069,15.98127344,11.0484852,9.152874845,14.73835357,6.308896705,97,124,107.5,122,145,-7.725702737,1.970708194,9815,10029,10085,10102,10351,1.069100586,0.094840741,16711,18448,17740,17749,18711,2.2866398,-1.658109121,6580,6722,6981,6850,7115,1.575694913,0.570186142,2368,2318,2046,2116,2093,-2.438716304,0.341509988,994,1122,1170,1285,1291,5.367814355,-4.13677917,88.64375,93.875,109.0625,122.93125,149.10625,10.96079139,5.130319249,455.9299067,476.3351279,463.9525524,413.5665419,332.2019655,6.53668438,9.592099392,25.5,30,43,57.5,91,-22.46464894,-7.271062271,14489,15098,14866,15092,15996,-1.95952575,-0.539255338,1720,1809,1953,1874,1930,2.330659346,-0.7287194,1113,1133,1144,1269,1209,1.668455804,-2.17502586,290622,241096,181181,109800,43254,-31.68130567,-14.52172572,34.4257285,27.65179493,20.39867147,11.89341421,4.675097276,-32.92178418,-13.67158781,"A"
"United States",12742,13574,13576,14181,14470,2.576100743,-1.497216369,3776,4644,4822,4832,4567,3.877097257,-6.983116683,8966,8930,8754,9349,9903,2.007853473,2.109094768,30246,36538,40574,36922,40954,6.249201688,-3.294144089,190.2264151,229.7987421,255.1823899,232.2138365,257.572327,-5.88164578,2.45841196,287.8707279,310.8971457,307.3349069,333.6422962,349.2176511,-3.789989105,0.982123799,138,165,191,169,191,-6.29362367,1.615103919,80.44375,115.76875,128.60625,95.33125,116.0875,7.611486396,-7.379968628,5.047880027,4.279866387,4.322090216,3.439909819,2.80921104,12.43588214,1.50209861,78,114,129,95,115,-7.47068385,4.72921434,12717,13546,13548,14135,14367,2.469893326,-1.625839059,13608,16899,18579,17758,19718,7.699506265,-4.382341459,8687,9395,9213,9474,9837,2.517632917,-1.43952347,1750,1589,1656,1695,1633,-1.374407061,1.847394297,2305,2590,2707,3012,3000,5.412002826,-4.254277179,100.13125,108.26875,128.50625,143.24375,169.84375,11.14654994,3.480970698,626.7411985,682.3610207,684.8647665,661.90968,530.1961373,3.402332832,10.99783424,20.5,23.5,46,51,82.5,-24.30625679,-8.471953578,12367,12684,12837,13003,13433,-1.640056815,-0.233953461,5912,6440,6415,7016,7358,4.473241937,-1.352138472,2266,2386,2319,2414,2319,0.463468622,-3.077017389,401992,359202,267631,172620,71025,-29.29684946,-16.07007311,34.12206095,28.2502556,20.91030549,12.75737196,4.942244799,-32.05182452,-14.68381914,"A"
"United States",5661,5697,5921,6142,6305,2.178232808,0.672642877,1725,1970,2241,2227,2119,4.200156553,-3.849679958,3936,3727,3680,3915,4186,1.239228481,4.077351286,19663,24129,26586,21908,25568,5.39242458,-2.002161038,123.6666667,151.754717,167.2075472,137.7861635,160.8050314,-5.116520093,1.398026604,59.97158258,61.2242937,63.78544688,70.14139109,74.60193756,-4.271979064,-1.311009382,105,132,146,115,137,-5.181354648,1.465383765,92.1625,118.6125,125.7625,93.3625,115.275,4.576999453,-1.742988066,6.719807855,4.733112981,3.439481276,1.338766446,2.018623979,27.19214325,-25.21787891,93.5,116,123,93,115,-4.054910104,0.088705647,5653,5693,5904,6121,6261,2.064084336,0.526539694,8122,9920,11593,10876,12218,8.509416256,-3.266103108,4089,4055,4313,4388,4604,2.400868691,1.918005032,424,432,443,460,447,1.062103485,-1.570959803,1148,1210,1165,1294,1254,1.782034978,-2.830628991,48.34375,50.73125,68.44375,73.78125,91.73125,13.66726104,6.463361157,276.2606109,286.9692798,283.5382407,270.91967,216.7844108,4.968304874,9.567858859,11.5,18,35,41.5,62.5,-28.72067726,0.837037037,5698,5514,5840,6168,6539,-2.715820249,-3.003536957,1450,1573,1514,1609,1672,2.890115365,-1.522427723,2163,2256,2244,2251,2178,0.138313115,-2.514195674,877318,706851,529411,338599,135030,-31.22119189,-13.56350009,31.42594118,24.79482952,18.0643191,11.26672878,4.373866287,-32.59137915,-13.35938602,"A"
"United States",4811,4621,4851,4880,5133,1.304137066,3.044569708,1679,1996,2073,1989,1564,-1.409013878,-4.565286552,3132,2625,2778,2891,3569,2.646692239,13.21327739,20965,20562,27081,27555,31095,8.20295935,4.923094859,131.8553459,129.3207547,170.3207547,173.3018868,195.5660377,-7.581085951,-4.448131011,149.7626746,141.2499052,170.3059169,158.5242766,168.4036188,-2.318924317,-3.964403392,105,100,141,147,164,-8.532019563,-5.12195122,78.14375,81.70625,104.41875,122.14375,144.825,13.13314433,4.67013428,4.052868966,3.582973143,3.799158919,3.803088574,2.247430399,12.51625338,18.70157499,77,80,103,121,144,-11.76809693,-4.074074074,4805,4618,4850,4873,5121,1.28200188,2.993682263,9716,9481,12325,12312,13691,7.100015298,4.53971522,3305,3336,3449,3473,3571,1.56023036,0.627931718,1110,899,1044,1007,1121,0.197417187,10.10992124,396,386,358,400,441,2.175949146,4.258417508,49.425,49.9625,69.35,84.05,119.06875,19.22579398,13.52556055,219.3896207,224.0624601,225.8694786,204.980312,202.3831015,1.626826954,1.122940465,15,19.5,30,44,78,-28.08833715,-6.837606838,8368,7824,8707,8616,9282,-2.051898752,-4.709381,261,246,199,242,236,-1.993631081,1.089262531,172,170,147,123,171,-0.116550433,13.39572698,139764,104047,94711,57827,23868,-29.77622993,-11.05664711,33.41238346,26.6513832,23.12844933,13.56804317,5.153962427,-31.19076045,-13.92631525,"A"
"United Kingdom",12471,13500,13817,14525,14934,3.670447585,-1.811769294,4564,5366,5725,6268,6266,6.543988571,-4.918823409,7907,8134,8092,8257,8668,1.854784153,0.702240286,31713,36432,40216,36502,38835,4.135113901,-2.829634127,199.4528302,229.1320755,252.9308176,229.572327,244.245283,-3.97091216,2.315143687,110.5709405,113.5275639,121.563346,134.8119862,138.4591388,-4.398682916,-0.009926087,163,193,213,180,196,-3.620136562,2.460258715,92.56875,120.8125,128.54375,96.96875,117.3125,4.851821173,-3.177136514,10.1557815,7.911608778,7.287317211,10.27754582,7.845350744,5.298018033,0.878723519,89,118,128,95,115,-4.996756392,2.394988946,12434,13452,13795,14446,14798,3.542448817,-1.916855967,21805,24843,27506,27013,29223,6.031215841,-1.917112734,8658,9382,9654,9876,10334,3.602485635,-1.241567766,1096,1161,1269,1317,1385,4.791931164,-0.255802375,2717,2957,2894,3332,3215,3.423270654,-4.114892184,102.69375,111.5625,137.4125,153.5875,183.53125,12.31382084,3.620033617,591.6468541,662.7778941,659.2245243,662.7029879,525.7692289,2.38904185,12.25890648,22,23.5,47,50.5,80.5,-22.85187773,-10.29470067,11601,11922,12591,12630,13587,-3.111023037,-1.450332068,5081,5494,5705,5851,6185,4.01071978,-0.806631762,3759,4285,4039,4534,4500,3.664017905,-4.91432433,365991,309428,233978,137923,57865,-30.85048947,-14.19689318,34.52093945,27.10239117,19.43500291,11.06127195,4.504865707,-33.45432287,-12.59451125,"A"
"United Kingdom",10770,11107,11688,11760,12125,2.398408974,-0.008440238,4010,4525,4864,5055,5041,4.682591394,-3.246383757,6760,6582,6824,6705,7084,0.940713754,2.761878077,28821,32868,37481,32623,35063,3.998722671,-2.18748626,181.2641509,206.7169811,235.7295597,205.1761006,220.5220126,-3.844972869,1.784661789,92.40400101,91.5755296,98.98687328,99.42699978,103.5800208,-2.257609498,-1.638055751,155,180,203,176,187,-3.684093085,2.668845316,86.09375,115.31875,125.74375,95.10625,114.9,5.942369172,-4.377768027,8.834464298,7.341080992,7.51455349,10.8120576,8.125741379,1.686534059,4.238837113,84,114,123,92,113,-5.758938653,2.577239559,10688,11038,11607,11661,11990,2.325658367,-0.151110073,19067,21007,24036,22597,24367,5.027720403,-0.780583041,7685,7913,8466,8313,8726,2.573285699,0.667101247,1109,958,947,957,873,-4.672865274,1.612813562,1976,2236,2275,2490,2526,5.033849134,-3.904037201,91.94375,94.9875,123.85625,131.36875,162.3875,12.04850764,6.767174053,496.3456552,511.0608154,528.2688691,518.9529083,404.4288307,4.180976394,10.39894082,22,22,47,46,78,-22.36355948,-13.67521368,11940,12235,12873,12647,13333,-2.182785928,-0.911337659,3326,3576,3594,3583,3906,3.26710421,0.499418565,2916,3037,3284,3450,3463,3.498247091,-1.257569432,284308,246468,202766,120568,52819,-28.5832276,-14.29400579,30.77925733,25.28654971,20.05995251,11.34757647,4.759326005,-31.15736839,-13.4043907,"A"
"Switzerland",7517,7603,7589,7859,8165,1.667542925,0.916517237,1880,2069,2301,2387,2485,5.738637202,-2.053188782,5637,5534,5288,5472,5680,0.152100028,1.876127549,16177,17472,21278,23481,26912,10.71579879,2.202207083,101.7421384,109.8867925,133.8238994,147.6792453,169.2578616,-9.678653729,-1.779033533,58.97845711,61.88034402,60.10597546,62.76350233,67.40649537,-2.636016994,-0.732845562,88,96,120,133,153,-10.47213079,-1.579520697,77.5875,82.8375,106.3375,122.575,140.01875,12.53273849,2.488176373,3.297392719,2.194583097,3.309767325,1.515330464,2.045002729,10.02600813,-25.38408345,77,82,105,122,139,-11.14227601,-2.044218284,7443,7550,7524,7782,8030,1.529794056,0.58308302,12180,13184,14906,15815,18243,8.415104802,2.369830697,5339,5276,5469,5693,5793,1.645632237,0.978846459,1520,1584,1401,1361,1463,-0.761509965,1.094654343,658,743,719,805,909,6.67621498,0.000440509,57.71875,62.7125,72.55625,87.1375,113.675,14.51690688,7.267624392,395.2284933,426.5082949,405.74306,368.272911,306.6601698,5.205434654,9.141820877,13,19,28,42,72,-28.98956531,-3.362573099,11298,11566,11586,11810,12588,-2.139153696,-1.287784307,1080,1086,1090,1097,1076,-0.074184058,-0.823289105,783,762,805,904,988,4.760855547,3.991342578,189863,164830,119270,73646,34293,-28.98451979,-13.41686094,27.38935372,23.71654676,16.75846565,9.889351417,4.457109436,-30.45045349,-13.84019986,"A"
"United Kingdom",10929,11326,11504,12151,12089,2.038012384,-1.380927785,3933,4416,4798,5269,5195,5.723692068,-4.263649275,6996,6910,6706,6882,6894,-0.293310782,0.467880596,28271,27890,32272,34928,37854,6.011778733,3.241634641,177.8050314,175.408805,202.9685535,219.672956,238.0754717,-5.670859224,-3.031926449,118.3010255,119.8709862,125.1239599,129.5610162,130.7304961,-1.978279748,0.138378513,142,137,163,185,198,-6.432585109,-3.405097201,89.025,88.23125,109.125,125.59375,147.61875,10.64350072,6.142768051,14.11585041,11.69218514,10.11304034,10.27012329,9.048348037,9.301859398,-2.408729851,84,83,105,123,145,-10.34340177,-5.45907769,10898,11300,11481,12092,11992,1.931628624,-1.505247761,19813,21266,24693,26849,28065,7.211892296,-0.934845377,7189,7686,7820,8089,8193,2.64904051,-1.875881067,1433,1416,1348,1368,1256,-2.602302589,-2.333604034,2307,2224,2336,2694,2640,2.733306557,0.531097216,90.775,93.55,110.1875,133.29375,163.01875,12.42276443,6.414453778,533.9065703,546.028679,547.8622857,554.8837444,419.0700617,4.962876949,11.54279917,22,24,34,57,93.5,-25.12752078,-10.23469994,11321,12054,12091,12773,12945,-2.645384221,1.584090211,5553,5759,5826,6068,6181,2.165958548,-0.615826128,642,613,571,712,671,0.887532082,-0.413764337,277050,246895,193635,122639,51959,-28.44820621,-15.58274899,27.53976143,23.79481496,18.02597282,11.32923788,4.609154617,-30.05893829,-15.23932043,"A"
"United States",8587,9196,8910,8939,8945,0.820251484,-2.341664796,2578,3270,3289,3094,2791,1.600392263,-8.925130658,6009,5926,5621,5845,6154,0.478017507,2.222610386,31869,36409,42627,38257,43093,6.220333009,-0.534998306,200.4339623,228.9874214,268.0943396,240.6100629,271.0251572,-5.856066191,0.415734699,200.4668137,209.2347718,211.057218,200.6252225,204.8492484,-0.4315784,0.709490416,169,195,227,205,249,-7.458300376,-1.445783133,105.88125,128.425,138.1625,129.84375,154.325,7.825987734,-0.812382978,14.34102699,15.82194559,22.11914208,18.16886094,25.16800155,-10.63935307,-6.149925883,102,125.5,132,124,147,-7.048464721,1.026280366,8571,9182,8895,8890,8903,0.762973657,-2.327486016,13977,15886,19319,17648,19510,6.897773786,-1.035794018,6059,6356,6343,6243,6571,1.635657943,0.117361791,1052,1100,1009,939,749,-6.568522745,-8.265676481,1476,1740,1558,1757,1625,1.942059107,-8.46632826,77.30625,87.775,113.8625,130.2,168.75,16.89766462,5.355458539,397.2849998,450.6590276,431.4410035,398.9799856,331.7252216,3.67277776,10.70592969,20,24,45,58,94,-26.61954025,-7.210401891,9135,9470,9511,9457,9788,-1.371388713,0.051931644,2967,3262,3099,3092,3149,1.197788733,-2.699745352,1629,1881,1659,1839,1778,1.765866418,-6.262211126,230582,199470,157208,91784,40599,-29.34579941,-14.09132883,28.891367,23.25638335,18.68854018,10.73748245,4.723010703,-30.38702926,-12.16991954,"A"
"United Kingdom",13821,14620,15154,15567,16130,3.138065201,-0.721477633,5369,5885,6275,6817,7142,5.873016828,-1.998034448,8452,8735,8879,8750,8988,1.237337547,-0.209439975,31183,35585,40920,36521,40997,5.625027892,-0.620234603,196.1194969,223.8050314,257.3584906,229.6918239,257.8427673,-5.325468787,0.48416958,141.6565808,140.8097953,154.5463055,158.9978087,167.611234,-3.30884983,-1.913433044,151,174,205,175,204,-5.839369914,-0.332431823,90.93125,118.4125,129.8375,94.86875,116.90625,5.153785978,-2.330848876,6.943728789,10.33306198,2.589012828,2.50564614,2.698233466,20.80993343,8.554442046,86,117,130,95,118,-6.130762785,2.334733691,13797,14583,15121,15497,16012,3.022523468,-0.79122226,20680,23849,27573,27845,30513,8.090338008,-1.914124009,9338,9884,10250,10319,11057,3.437183835,0.434926446,1360,1345,1497,1591,1607,3.394013449,0.702865999,3123,3391,3407,3657,3466,2.106012174,-4.601450808,110.575,115.925,144.53125,154.65625,194.9375,12.00765085,7.069106925,686.0604292,727.6019244,741.1899995,740.289303,596.8632755,2.824712184,9.9131116,22,23,47,47,84.5,-23.59651046,-13.34362405,10308,10798,11158,11223,12062,-3.093921985,-0.80595045,8767,9234,9461,9666,9966,2.596837784,-0.741043779,3286,3464,3709,3942,4125,4.652902731,-0.25820224,336390,287455,229226,145417,65922,-27.8165792,-13.37327344,28.46902505,22.6753175,17.69948267,10.57808977,4.65025395,-30.39814488,-11.89596506,"A"
